English,Polish
a,za
ability,umiejętność
able,zdolny
about,o
above,powyżej
accept,zaakceptować
according,według
account,konto
across,przez
act,akt
action,akcja
activity,czynność
actually,tak właściwie
add,Dodaj
address,adres
administration,administracja
admit,przyznać
adult,dorosły
affect,wpłynąć
after,po
again,jeszcze raz
against,przeciwko
age,wiek
agency,agencja
agent,agent
ago,temu
agree,Zgodzić się
agreement,umowa
ahead,przed siebie
air,powietrze
all,wszystko
allow,dopuszczać
almost,prawie
alone,sam
along,wzdłuż
already,już
also,również
although,mimo że
always,zawsze
American,amerykański
among,pośród
amount,ilość
analysis,analiza
and,i
animal,zwierzę
another,inne
answer,odpowiedź
any,każdy
anyone,ktoś
anything,byle co
appear,zjawić się
apply,zastosować
approach,podejście
area,powierzchnia
argue,kłócić się
arm,ramię
around,na około
arrive,przybyć
art,sztuka
article,artykuł
artist,artysta
as,tak jak
ask,zapytać
assume,założyć
at,w
attack,atak
attention,Uwaga
attorney,adwokat
audience,publiczność
author,autor
authority,autorytet
available,dostępny
avoid,uniknąć
away,z dala
baby,kochanie
back,z powrotem
bad,zły
bag,torba
ball,piłka
bank,Bank
bar,bar
base,baza
be,być
beat,bić
beautiful,piękny
because,dlatego
become,stają się
bed,łóżko
before,przed
begin,zaczynać
behavior,zachowanie
behind,za
believe,uwierzyć
benefit,zasiłek
best,Najlepsza
better,lepszy
between,pomiędzy
beyond,poza
big,duży
bill,rachunek
billion,miliard
bit,kawałek
black,czarny
blood,krew
blue,niebieski
board,tablica
body,ciało
book,książka
born,urodzony
both,obie
box,pudełko
boy,chłopiec
break,złamać
bring,przynieść
brother,brat
budget,budżet
build,budować
building,budynek
business,biznes
but,ale
buy,Kup
by,przez
call,połączenie
camera,aparat fotograficzny
campaign,kampania
can,mogą
cancer,rak
candidate,kandydat
capital,kapitał
car,samochód
card,karta
care,opieka
career,kariera
carry,nieść
case,walizka
catch,łapać
cause,przyczyna
cell,komórka
center,środek
central,centralny
century,stulecie
certain,pewny
certainly,na pewno
chair,krzesło
challenge,wyzwanie
chance,szansa
change,zmiana
character,postać
charge,opłata
check,czek
child,dziecko
choice,wybór
choose,wybierać
church,kościół
citizen,obywatel
city,Miasto
civil,cywilny
claim,roszczenie
class,klasa
clear,jasny
clearly,Wyraźnie
close,blisko
coach,trener
cold,zimno
collection,kolekcja
college,Szkoła Wyższa
color,kolor
come,chodź
commercial,Reklama w telewizji
common,wspólny
community,społeczność
company,firma
compare,porównać
computer,komputer
concern,sprawa
condition,stan: schorzenie
conference,konferencja
Congress,Kongres
consider,rozważać
consumer,konsument
contain,zawierać
continue,kontyntynuj
control,kontrola
cost,koszt
could,mógłby
country,kraj
couple,para
course,kierunek
court,Sąd
cover,pokrywa
create,Stwórz
crime,przestępstwo
cultural,kulturalny
culture,kultura
cup,Puchar
current,obecny
customer,klient
cut,skaleczenie
dark,ciemny
data,dane
daughter,córka
day,dzień
dead,nie żyje
deal,rozdać
death,śmierć
debate,debata
decade,dekada
decide,zdecydować
decision,decyzja
deep,głęboki
defense,obrona
degree,stopień
Democrat,Demokrata
democratic,demokratyczny
describe,opisać
design,projekt
despite,pomimo
detail,Szczegół
determine,określać
develop,rozwijać
development,rozwój
die,umierać
difference,różnica
different,różne
difficult,trudny
dinner,obiad
direction,kierunek
director,dyrektor
discover,odkryć
discuss,omawiać
discussion,dyskusja
disease,choroba
do,zrobić
doctor,lekarz
dog,pies
door,drzwi
down,na dół
draw,remis
dream,śnić
drive,napęd
drop,upuszczać
drug,lek
during,w trakcie
each,każdy
early,wcześnie
east,Wschód
easy,łatwo
eat,jeść
economic,gospodarczy
economy,gospodarka
edge,Brzeg
education,Edukacja
effect,efekt
effort,wysiłek
eight,osiem
either,zarówno
election,wybór
else,jeszcze
employee,pracownik
end,koniec
energy,energia
enjoy,cieszyć się
enough,dość
enter,wchodzić
entire,Cały
environment,środowisko
environmental,środowiskowy
especially,szczególnie
establish,ustalić
even,parzysty
evening,wieczór
event,zdarzenie
ever,zawsze
every,każdy
everybody,wszyscy
everyone,wszyscy
everything,wszystko
evidence,dowód
exactly,dokładnie
example,przykład
executive,wykonawczy
exist,istnieć
expect,oczekiwać
experience,doświadczenie
expert,ekspert
explain,wyjaśnić
eye,oko
face,Twarz
fact,fakt
factor,czynnik
fail,zawieść
fall,spadek
family,rodzina
far,daleko
fast,szybki
father,ojciec
fear,strach
federal,federalny
feel,czuć
feeling,uczucie
few,mało
field,pole
fight,walka
figure,postać
fill,napełnić
film,film
final,finał
finally,Wreszcie
financial,budżetowy
find,odnaleźć
fine,w porządku
finger,palec
finish,koniec
fire,ogień
firm,firma
first,pierwszy
fish,ryba
five,pięć
floor,piętro
fly,latać
focus,skupiać
follow,podążać
food,jedzenie
foot,stopa
for,dla
force,siła
foreign,obcy
forget,zapomnieć
form,Formularz
former,były
forward,Naprzód
four,cztery
free,wolny
friend,przyjaciel
from,z
front,z przodu
full,pełny
fund,fundusz
future,przyszłość
game,gra
garden,ogród
gas,gaz
general,generał
generation,Pokolenie
get,otrzymać
girl,dziewczynka
give,dać
glass,szkło
go,udać się
goal,cel
good,dobrze
government,rząd
great,wspaniały
green,Zielony
ground,ziemia
group,Grupa
grow,rosnąć
growth,wzrost
guess,odgadnąć
gun,pistolet
guy,chłopak
hair,włosy
half,pół
hand,dłoń
hang,powiesić
happen,zdarzyć
happy,szczęśliwy
hard,ciężko
have,mieć
he,on
head,głowa
health,zdrowie
hear,słyszeć
heart,serce
heat,ciepło
heavy,ciężki
help,Wsparcie
her,jej
here,tutaj
herself,się
high,wysoki
him,mu
himself,samego siebie
his,jego
history,historia
hit,trafienie
hold,trzymać
home,Dom
hope,nadzieja
hospital,szpital
hot,gorąco
hotel,hotel
hour,godzina
house,dom
how,w jaki sposób
however,jednak
huge,olbrzymi
human,człowiek
hundred,sto
husband,mąż
I,ja
idea,pomysł
identify,zidentyfikować
if,gdyby
image,wizerunek
imagine,wyobrażać sobie
impact,wpływ
important,ważny
improve,ulepszać
in,w
include,zawierać
including,włącznie z
increase,zwiększać
indeed,w rzeczy samej
indicate,wskazać
individual,indywidualny
industry,przemysł
information,Informacja
inside,wewnątrz
instead,zamiast
institution,instytucja
interest,zainteresowanie
interesting,ciekawy
international,międzynarodowy
interview,wywiad
into,w
investment,inwestycja
involve,angażować
issue,kwestia
it,to
item,pozycja
its,jego
itself,samo
job,praca
join,Przystąp
just,właśnie
keep,trzymać
key,klucz
kid,dziecko
kill,zabić
kind,uprzejmy
kitchen,kuchnia
know,wiedzieć
knowledge,"wiedza, umiejętności"
land,wylądować
language,język
large,duży
last,"ostatni, ubiegły, zeszły"
late,późno
later,później
laugh,śmiech
law,prawo
lawyer,prawnik
lay,kłaść
lead,prowadzić
leader,lider
learn,uczyć się
least,najmniej
leave,wychodzić
left,lewo
leg,noga
legal,prawny
less,mniej
let,pozwolić
letter,list
level,poziom
lie,kłamstwo
life,życie
light,lekki
like,lubić
likely,prawdopodobne
line,linia
list,lista
listen,słuchać
little,mało
live,relacja na żywo
local,lokalny
long,długo
look,Popatrz
lose,stracić
loss,utrata
lot,los
love,miłość
low,Niska
machine,maszyna
magazine,czasopismo
main,Główny
maintain,utrzymać
major,poważny
majority,większość
make,Marka
man,człowiek
manage,zarządzać
management,zarządzanie
manager,menedżer
many,wiele
market,rynek
marriage,związek małżeński
material,materiał
matter,materia
may,może
maybe,może
me,mnie
mean,oznaczać
measure,pomiar
media,głoska bezdźwięczna
medical,medyczny
meet,spotykać się
meeting,spotkanie
member,członek
memory,pamięć
mention,wzmianka
message,wiadomość
method,metoda
middle,środkowy
might,moc
military,wojskowy
million,milion
mind,umysł
minute,minuta
miss,tęsknić
mission,misja
model,Model
modern,nowoczesny
moment,za chwilę
money,pieniądze
month,miesiąc
more,jeszcze
morning,ranek
most,większość
mother,matka
mouth,usta
move,ruszaj się
movement,ruch
movie,film
Mr,Pan
Mrs,Pani
much,dużo
music,muzyka
must,musieć
my,mój
myself,siebie
name,Nazwa
nation,naród
national,krajowy
natural,naturalny
nature,Natura
near,Blisko
nearly,prawie
necessary,niezbędny
need,potrzeba
network,sieć
never,nigdy
new,Nowy
news,Aktualności
newspaper,Gazeta
next,Kolejny
nice,miły
night,noc
no,Nie
none,Żaden
nor,ani
north,północ
not,nie
note,Uwaga
nothing,nic
notice,ogłoszenie
now,teraz
n't,nie
number,numer
occur,pojawić się
of,z
off,poza
offer,oferta
office,gabinet
officer,oficer
official,urzędnik
often,często
oh,O
oil,olej
ok,dobrze
old,stary
on,na
once,pewnego razu
one,jeden
only,tylko
onto,na
open,otwarty
operation,operacja
opportunity,okazja
option,opcja
or,lub
order,zamówienie
organization,organizacja
other,inny
others,inni
our,nasz
out,na zewnątrz
outside,na zewnątrz
over,nad
own,posiadać
owner,właściciel
page,strona
pain,ból
painting,obraz
paper,papier
parent,rodzic
part,część
participant,uczestnik
particular,szczególny
particularly,szczególnie
partner,partner
party,przyjęcie
pass,przechodzić
past,przeszłość
patient,cierpliwy
pattern,wzór
pay,zapłacić
peace,pokój
people,ludzie
per,za
perform,wykonać
performance,występ
perhaps,być może
period,Kropka
person,osoba
personal,osobisty
phone,telefon
physical,fizyczny
pick,wybierać
picture,obrazek
piece,kawałek
place,miejsce
plan,plan
plant,roślina
play,grać
player,gracz
PM,PO POŁUDNIU
point,punkt
police,Policja
policy,polityka
political,polityczny
politics,Polityka
poor,ubogi
popular,popularny
population,populacja
position,pozycja
positive,pozytywny
possible,możliwy
power,moc
practice,ćwiczyć
prepare,przygotować
present,teraźniejszość
president,prezydent
pressure,nacisk
pretty,ładny
prevent,zapobiec
price,Cena £
private,prywatny
probably,prawdopodobnie
problem,problem
process,proces
produce,produkować
product,produkt
production,produkcja
professional,profesjonalny
professor,profesor
program,program
project,projekt
property,własność
protect,ochraniać
prove,okazać się
provide,zapewniać
public,publiczny
pull,Ciągnąć
purpose,"cel, powód"
push,Pchać
put,położyć
quality,jakość
question,pytanie
quickly,szybko
quite,całkiem
race,wyścigi
radio,radio
raise,podnieść
range,zasięg
rate,oceniać
rather,raczej
reach,dosięgnąć
read,czytać
ready,gotowy
real,real
reality,rzeczywistość
realize,realizować
really,naprawdę
reason,powód
receive,otrzymać
recent,niedawny
recently,niedawno
recognize,rozpoznać
record,rekord
red,czerwony
reduce,zmniejszyć
reflect,odzwierciedlić
region,region
relate,odnosić się
relationship,związek
religious,religijny
remain,pozostawać
remember,Zapamiętaj
remove,usunąć
report,raport
represent,przedstawiać
Republican,Republikański
require,wymagać
research,Badania
resource,ratunek
respond,odpowiadać
response,odpowiedź
responsibility,odpowiedzialność
rest,reszta
result,wynik
return,powrót
reveal,odsłonić
rich,bogaty
right,dobrze
rise,wzrost
risk,ryzyko
road,Droga
rock,skała
role,rola
room,Pokój
rule,reguła
run,biegać
safe,bezpieczny
same,podobnie
save,zapisać
say,mówić
scene,scena
school,szkoła
science,nauka
scientist,naukowiec
score,wynik
sea,morze
season,pora roku
seat,siedzenie
second,druga
section,Sekcja
security,bezpieczeństwo
see,widzieć
seek,szukać
seem,wydać się
sell,Sprzedać
send,wysłać
senior,senior
sense,sens
series,seria
serious,poważny
serve,służyć
service,usługa
set,zestaw
seven,siedem
several,kilka
sex,seks
sexual,seksualny
shake,potrząsnąć
share,dzielić
she,Ona
shoot,strzelać
short,krótki
shot,strzał
should,powinien
shoulder,ramię
show,pokazać
side,bok
sign,znak
significant,znaczący
similar,podobny
simple,prosty
simply,po prostu
since,od
sing,śpiewać
single,pojedynczy
sister,siostra
sit,siedzieć
site,teren
situation,sytuacja
six,sześć
size,rozmiar
skill,umiejętność
skin,skóra
small,mały
smile,Uśmiechnij się
so,więc
social,społeczny
society,społeczeństwo
soldier,żołnierz
some,trochę
somebody,ktoś
someone,ktoś
something,coś
sometimes,czasami
son,syn
song,piosenka
soon,wkrótce
sort,sortować
sound,dźwięk
source,źródło
south,południe
southern,południowy
space,przestrzeń
speak,mówić
special,specjalny
specific,konkretny
speech,przemówienie
spend,wydać
sport,sport
spring,wiosna
staff,personel
stage,etap
stand,stoisko
standard,standard
star,gwiazda
start,początek
state,stan
statement,komunikat
station,stacja
stay,zostać
step,krok
still,nadal
stock,Zbiory
stop,zatrzymać
store,sklep
story,fabuła
strategy,strategia
street,ulica
strong,silny
structure,Struktura
student,student
study,nauka
stuff,rzeczy
style,styl
subject,Przedmiot
success,sukces
successful,odnoszący sukcesy
such,taki
suddenly,nagle
suffer,ponieść
suggest,sugerować
summer,lato
support,wsparcie
sure,pewnie
surface,powierzchnia
system,system
table,stół
take,brać
talk,rozmowa
task,zadanie
tax,podatek
teach,nauczać
teacher,nauczyciel
team,zespół
technology,technologia
television,telewizja
tell,powiedzieć
ten,dziesięć
tend,zmierzać
term,semestr
test,test
than,niż
thank,podziękować
that,że
the,
their,ich
them,im
themselves,sami
then,następnie
theory,teoria
there,tam
these,te
they,one
thing,rzecz
think,myśleć
third,trzeci
this,to
those,te
though,chociaż
thought,myśl
thousand,tysiąc
threat,zagrożenie
three,trzy
through,przez
throughout,poprzez
throw,rzucać
thus,a zatem
time,czas
to,do
today,dzisiaj
together,razem
tonight,dzisiejszej nocy
too,także
top,Top
total,całkowity
tough,twardy
toward,w kierunku
town,miasto
trade,handel
traditional,tradycyjny
training,trening
travel,podróżować
treat,leczyć
treatment,leczenie
tree,drzewo
trial,próba
trip,wyjazd
trouble,kłopot
TRUE,PRAWDZIWE
truth,prawda
try,próbować
turn,skręcać
TV,telewizja
two,dwa
type,rodzaj
under,pod
understand,Rozumiesz
unit,jednostka
until,aż do
up,w górę
upon,na
us,nas
use,posługiwać się
usually,zazwyczaj
value,wartość
various,różnorodny
very,bardzo
victim,ofiara
view,widok
violence,przemoc
visit,wizyta
voice,głos
vote,głosować
wait,czekać
walk,spacerować
wall,Ściana
want,chcieć
war,wojna
watch,zegarek
water,woda
way,droga
we,my
weapon,broń
wear,nosić
week,tydzień
weight,waga
well,dobrze
west,Zachód
western,Zachodni
what,co
whatever,cokolwiek
when,gdy
where,gdzie
whether,czy
which,który
while,podczas
white,biały
who,WHO
whole,cały
whom,kogo
whose,którego
why,dlaczego
wide,szeroki
wife,żona
will,Wola
win,zdobyć
wind,wiatr
window,okno
wish,życzenie
with,z
within,w ciągu
without,bez
woman,kobieta
wonder,cud
word,słowo
work,praca
worker,pracownik
world,świat
worry,martwić się
would,by
write,pisać
writer,pisarz
wrong,źle
yard,dziedziniec
yeah,Tak
year,rok
yes,tak
yet,jeszcze
you,ty
young,młody
your,Twój
yourself,siebie